0,1,2,3
LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS,LISTA DE ENTIDADES ENCONTRADAS
Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.,Clique o mouse sobre o CNPJ ou Razão Social desejada para ser apresentados os dados das liberações.
CNPJ,Razão Social,UF,
05.515.636/0001-90,APMC DA ESCOLA RURAL SAO JORGE,AM,
03.201.806/0001-36,"ASSOC DE PAIS, MESTRES E COMUNITARIOS / APMC DA EM BERNARD",AM,
01.982.751/0001-13,"ASSOC DE PAIS, MESTRES E COMUNITARIOS / APMC DA EM FRANCIS",AM,
14.585.423/0001-25,"ASSOC DE PAIS, MESTRES E COMUNITARIOS / APMC DA EM INSTITU",AM,
03.201.776/0001-68,"ASSOC DE PAIS, MESTRES E COMUNITARIOS - APMC DA EM MARIA L",AM,
03.201.940/0001-37,"ASSOC DE PAIS, MESTRES E COMUNITARIOS / APMC DA EM MONTE S",AM,
03.201.590/0001-09,"ASSOC DE PAIS, MESTRES E COMUNITARIOS / APMC DA EM PROFA M",AM,
08.976.752/0001-02,"ASSOC DE PAIS, MESTRES E COMUNITARIOS APMC DA EM ALFREDO M",AM,
44.721.091/0001-20,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA CRECHE MUN GUILHE",AM,
44.703.674/0001-28,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA CRECHE MUN RAIMUN",AM,
07.508.009/0001-57,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM AFLAUDIZIO ANT",AM,
03.201.943/0001-70,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM ALDAIR BATISTA",AM,
07.509.900/0001-08,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM BENEDITO MESSI",AM,
08.976.742/0001-69,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM BOA ESPERANCA",AM,
03.201.638/0001-89,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM DEPUTADO DARCY",AM,
08.976.625/0001-03,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM FRANCISCA PINH",AM,
03.198.774/0001-67,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM FRANCISCO PERE",AM,
06.297.650/0001-27,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM FRENTE SAO JOR",AM,
03.201.239/0001-18,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA EM GERVASIO BATIS",AM,
