UF,Municipio,Ano,CNPJ,CNPJ_formatado,RazaoSocial,TotalRecebido,QtdePagamentos,PrimeiroPgto,UltimoPgto
AM,BOA_VISTA_DO_RAMOS,2025,04629283000196,04.629.283/0001-96,PREF MUN DE BOA VISTA DO RAMOS,642510.0,40,2025-02-06,2025-09-23
AM,BOA_VISTA_DO_RAMOS,2025,30813577000183,30.813.577/0001-83,"CONS ESCOLAR DAS ESC MUN ORNELLES LAVAREDA, PAULO CORDEIRO,",23480.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30818196000197,30.818.196/0001-97,CONS ESCOLAR DAS ESC MUN CORDULINA PEREIRA E GOV GILBERTO M,12860.0,2,2025-11-17,2025-11-17
AM,BOA_VISTA_DO_RAMOS,2025,30813557000102,30.813.557/0001-02,CONSELHO ESCOLAR DAS ESC MUN CRISTO REI E SOCORRO PEREIRA I,12600.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30819295000193,30.819.295/0001-93,"CONS ESCOLAR DAS ESC MUN JUCUNDINO DE ASSIS VIEIRA, JOSE VE",12540.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30813484000159,30.813.484/0001-59,CONSELHO ESCOLAR DAS ESC MUN BOM JESUS I E SAO JOSE DO CUCUI,12440.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30813280000118,30.813.280/0001-18,CONSELHO ESCOLAR DA EM CRECHE CASULO MENINO JESUS,9290.0,2,2025-09-25,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,03198748000139,03.198.748/0001-39,CONSELHO ESCOLAR DA EM PRESIDENTE TANCREDO NEVES,9070.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,02345514000104,02.345.514/0001-04,ASSOCIACAO PESTALOZZI DE BOA VISTA DO RAMOS,8330.0,2,2025-05-14,2025-09-26
AM,BOA_VISTA_DO_RAMOS,2025,30818208000183,30.818.208/0001-83,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL AUGUSTO TEIXEIRA,7390.0,2,2025-09-25,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30818153000101,30.818.153/0001-01,CONSELHO ESCOLAR DA EM GOVERNADOR DANILO DE MATOS AREOSA,6930.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,03198727000113,03.198.727/0001-13,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL RUFINA ESTEVES,6910.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30808044000103,30.808.044/0001-03,CONSELHO ESCOLAR DA ESCOLA MUNICIPAL FORTUNATO VIEIRA,6590.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30813531000164,30.813.531/0001-64,CONS ESCOLAR DAS ESC MUN BOM PASTOR DO GUAJARA E SAO JOSE D,6490.0,2,2025-05-15,2025-09-25
AM,BOA_VISTA_DO_RAMOS,2025,30818266000107,30.818.266/0001-07,CONS ESCOLAR DAS ESC MUNICIPAIS NOSSA SRA DA CONCEICAO DO R,6410.0,2,2025-11-06,2025-11-06
AM,BOA_VISTA_DO_RAMOS,2025,02838055000109,02.838.055/0001-09,CONSELHO ESCOLAR DA ESCOLA ESTADUAL SENADOR JOSE ESTEVES,3328.0,1,2025-03-26,2025-03-26
