UF,Municipio,Ano,RedeEnsino,CodEscola,NomeEscola,CNPJ,CNPJ_formatado,UnidadeExecutora,PrestacaoDeContas,DadosCadastrais,StatusPrestacaoContas,StatusDadosCadastrais,PendenciaPrestacao,PendenciaCadastral,TemPendencia
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039482,ESCOLA MUNICIPAL SANTINA PRADO DE NEGREIROS,01982754000157,01.982.754/0001-57,CONSELHO ESCOLAR DA EM SANTINA PRADO DE NEGREIROS,"No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.",A Unidade Executora (UEx) atualizou os seus dados cadastrais no corrente exerccio. Data de atualizao: 17/03/2025,DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039504,ESC MUN APARICIO DE MIRANDA LEAO,03253634000144,03.253.634/0001-44,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA APARICIO D","No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.","No h pendncia quanto ao cadastro da UEx , uma vez que o mandato do dirigente est vigente. Entretanto, solicitamos que verifiquem se os dados referentes ao percentual, e-mail e telefone necessitam de atualizao.",DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039504,ESC MUN APARICIO DE MIRANDA LEAO,03253634000144,03.253.634/0001-44,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA APARICIO D","No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.","No h pendncia quanto ao cadastro da UEx , uma vez que o mandato do dirigente est vigente. Entretanto, solicitamos que verifiquem se os dados referentes ao percentual, e-mail e telefone necessitam de atualizao.",DESCONHECIDO,DESCONHECIDO,False,False,False
AM,MAUES,2025,ADMINISTRAO PBLICA MUNICIPAL,13039504,ESC MUN APARICIO DE MIRANDA LEAO,03253634000144,03.253.634/0001-44,"ASSOC DE PAIS, MESTRES E COMUNITARIOS DA ESCOLA APARICIO D","No consta, na base de dados do FNDE, pendncia de prestao de contas de recursos do PDDE.","No h pendncia quanto ao cadastro da UEx , uma vez que o mandato do dirigente est vigente. Entretanto, solicitamos que verifiquem se os dados referentes ao percentual, e-mail e telefone necessitam de atualizao.",DESCONHECIDO,DESCONHECIDO,False,False,False
